age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
36.02112676,Federal-gov,1477342.9,Masters,2.40625,Divorced,Exec-managerial,Unmarried,White,Male,499.995,24.75,16.44565217,Puerto-Rico,>50K
61.72535211,State-gov,1418446.1,7th-8th,13.65625,Separated,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Female,85499.145,3588.75,51.59782609,Ireland,>50K
44.24647887,Local-gov,1359549.3,12th,1.46875,Married-civ-spouse,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,40499.595,2004.75,26.0326087,India,<=50K
20.59859155,Local-gov,800029.7,Doctorate,11.78125,Widowed,Other-service,Husband,Amer-Indian-Eskimo,Male,98499.015,1658.25,97.40217391,South,>50K
65.83802817,?,1418446.1,7th-8th,7.09375,Never-married,Transport-moving,Not-in-family,Asian-Pac-Islander,Female,88499.115,3687.75,71.83695652,Guatemala,<=50K
34.99295775,Federal-gov,608615.1,5th-6th,13.65625,Married-AF-spouse,Armed-Forces,Wife,Asian-Pac-Islander,Female,39499.605,222.75,29.22826087,France,>50K
87.42957746,Federal-gov,431924.7,HS-grad,14.59375,Never-married,Tech-support,Own-child,Other,Female,61499.385,1311.75,97.40217391,Columbia,<=50K
67.8943662,Never-worked,667511.9,12th,8.03125,Widowed,?,Other-relative,Amer-Indian-Eskimo,Male,5499.945,24.75,49.4673913,Scotland,<=50K
76.11971831,?,608615.1,5th-6th,9.90625,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Female,44499.555,222.75,22.83695652,Guatemala,>50K
89.48591549,Local-gov,711684.5,12th,12.71875,Married-AF-spouse,Tech-support,Husband,Amer-Indian-Eskimo,Male,99499.005,123.75,50.5326087,Mexico,<=50K
36.02112676,Federal-gov,711684.5,11th,5.21875,Widowed,Sales,Unmarried,White,Male,15499.845,3935.25,13.25,Greece,>50K
68.92253521,Private,446648.9,Doctorate,11.78125,Married-spouse-absent,Armed-Forces,Own-child,White,Male,77499.225,1559.25,82.48913043,Portugal,<=50K
27.79577465,Private,63819.7,Preschool,7.09375,Married-AF-spouse,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Female,499.995,321.75,77.16304348,Mexico,<=50K
44.24647887,Self-emp-inc,93268.1,Assoc-voc,8.03125,Divorced,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,88499.115,1707.75,51.59782609,Laos,<=50K
75.0915493,State-gov,549718.3,Masters,4.28125,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,88499.115,1559.25,51.59782609,Italy,>50K
53.5,?,107992.3,Assoc-voc,10.84375,Never-married,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,97499.025,24.75,43.07608696,United-States,<=50K
56.58450704,Without-pay,873650.7,Prof-school,14.59375,Divorced,Transport-moving,Not-in-family,Asian-Pac-Islander,Female,80499.195,1806.75,22.83695652,Taiwan,<=50K
88.45774648,Without-pay,107992.3,9th,10.84375,Married-AF-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Female,13499.865,4281.75,21.77173913,Trinadad&Tobago,<=50K
32.93661972,Self-emp-inc,873650.7,Assoc-acdm,2.40625,Married-civ-spouse,Prof-specialty,Wife,Black,Male,45499.545,1212.75,84.61956522,Thailand,<=50K
