sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,label
F,0.172875,0.155625,0.4407,0.3267025,0.05304500000000001,0.1979825,0.41795249999999995,21.28
F,0.12212500000000001,0.466125,0.5989,0.5243475,0.380185,0.2923025,0.6888974999999998,6.720000000000001
M,0.14387500000000003,0.32237499999999997,0.23729999999999998,0.5243475,0.7370650000000001,0.2746175,0.0667275,1.52
I,0.23087500000000002,0.144125,0.3277,1.0325775,0.008435000000000002,0.24514249999999999,0.7290374999999999,9.84
M,0.354125,0.32237499999999997,0.9604999999999999,1.3149275,0.24635500000000002,0.0093425,0.24735749999999995,15.04
I,0.24537500000000004,0.32237499999999997,0.41809999999999997,2.7831475,0.6775850000000001,0.3335675,0.6587924999999999,21.28
I,0.5643750000000001,0.558125,0.5537,1.2302225,0.49914500000000006,0.2156675,0.22728749999999998,26.48
M,0.7673750000000001,0.287875,0.8474999999999999,1.7666875,1.4656950000000002,0.2746175,0.7892474999999999,23.36
I,0.4048750000000001,0.483375,0.3729,0.4396425,1.480565,0.0506075,0.7792124999999999,14.0
F,0.4121250000000001,0.121125,0.5989,2.4160924999999995,0.49914500000000006,0.32767250000000003,0.4681274999999999,9.84
I,0.100375,0.310875,0.5763,0.9196375,0.692455,0.4632575,0.5183024999999999,3.6
F,0.317875,0.5983750000000001,0.4859,0.2137625,0.707325,0.24514249999999999,0.5183024999999999,5.68
I,0.5498750000000001,0.368375,0.2147,1.5125725,0.380185,0.2392475,0.7390724999999998,23.36
M,0.5208750000000001,0.270625,0.23729999999999998,2.1619775,1.0493350000000001,0.1449275,0.7992824999999999,10.879999999999999
F,0.47012500000000007,0.466125,0.7344999999999999,1.9078625,1.242645,0.5693674999999999,0.8093174999999999,8.8
M,0.259875,0.086625,0.6667,1.1172825,0.4396650000000001,0.5693674999999999,0.9598424999999998,4.640000000000001
F,0.738375,0.20737499999999998,0.6893,2.6702075,0.9749850000000001,0.5811575,0.7089674999999999,18.16
F,0.12937500000000002,0.057874999999999996,0.6214999999999999,1.6819825,1.153425,0.1508225,0.28749749999999996,11.920000000000002
M,0.33962500000000007,0.586875,0.0791,0.7784625,0.960115,0.027027500000000003,0.9096674999999999,5.68
M,0.23812500000000003,0.5121249999999999,0.14689999999999998,2.1619775,0.588365,0.0211325,0.6788624999999999,11.920000000000002
F,0.5643750000000001,0.42012499999999997,0.7119,1.6819825,0.186875,0.28640750000000004,0.19718249999999998,6.720000000000001
I,0.19462500000000002,0.27637500000000004,0.23729999999999998,1.3996325,1.346735,0.5634724999999999,0.8895974999999998,6.720000000000001
F,0.7456250000000001,0.293625,0.3051,2.1337424999999994,0.6775850000000001,0.4809425,0.5082674999999999,16.080000000000002
I,0.093125,0.43737499999999996,1.0057,0.3831725,0.7370650000000001,0.3571475,0.10686749999999999,1.52
F,0.085875,0.14987499999999998,0.8474999999999999,0.9196375,0.707325,0.4337825,0.24735749999999995,16.080000000000002
F,0.5571250000000001,0.506375,0.1243,2.8113824999999997,0.21661500000000003,0.3453575,0.2373225,2.56
M,0.41937500000000005,0.092375,0.5537,1.3149275,1.331865,0.3040925,0.38784749999999996,24.400000000000002
M,0.5643750000000001,0.287875,0.16949999999999998,0.2984675,0.36531500000000006,0.0682925,0.7591424999999998,1.52
F,0.15837500000000002,0.621375,0.14689999999999998,2.4160924999999995,0.811415,0.3630425,0.7792124999999999,23.36
M,0.43387500000000007,0.253375,0.23729999999999998,0.7502275,1.331865,0.10366249999999999,0.9799124999999999,6.720000000000001
I,0.390375,0.5523750000000001,0.5085,2.4160924999999995,0.15713500000000002,0.3807275,0.5283374999999999,22.32
F,0.30337500000000006,0.27637500000000004,0.2825,2.6984424999999996,1.2129050000000001,0.07418749999999999,0.8193524999999998,8.8
M,0.36137500000000006,0.39137500000000003,1.0509,2.6702075,0.915505,0.3158825,0.09683249999999999,19.2
I,0.535375,0.368375,0.4407,1.1172825,0.7668050000000001,0.11545250000000001,0.25739249999999997,16.080000000000002
M,0.651375,0.253375,0.46329999999999993,0.7784625,0.276095,0.3571475,0.9698774999999998,24.400000000000002
I,0.172875,0.201625,0.8249,1.3431625,0.067915,0.2274575,0.2072175,4.640000000000001
F,0.738375,0.20737499999999998,0.6893,2.6702075,0.9749850000000001,0.5811575,0.7089674999999999,18.16
I,0.34687500000000004,0.351125,0.46329999999999993,1.6255125,1.1088149999999999,0.4809425,0.9698774999999998,20.240000000000002
F,0.37587500000000007,0.121125,0.7797,0.24199749999999998,0.350445,0.32767250000000003,0.0867975,9.84
F,0.18012500000000004,0.224625,0.8474999999999999,1.7102175,1.302125,0.4632575,0.5383724999999999,16.080000000000002
I,0.5571250000000001,0.28212499999999996,0.14689999999999998,0.7219925,0.8857650000000001,0.0623975,0.19718249999999998,6.720000000000001
I,0.5643750000000001,0.471875,0.7570999999999999,0.3831725,1.242645,0.0447125,0.5785124999999999,18.16
F,0.259875,0.328125,0.7570999999999999,1.0325775,0.008435000000000002,0.1095575,0.21725249999999996,9.84
M,0.47012500000000007,0.627125,1.0282999999999998,1.3431625,0.647845,0.2097725,0.7992824999999999,20.240000000000002
F,0.12937500000000002,0.23612499999999997,0.4859,2.3313875,1.480565,0.2156675,0.9397724999999998,25.44
I,0.085875,0.47762499999999997,0.4859,1.3149275,1.2575150000000002,0.1508225,0.5684774999999999,10.879999999999999
I,0.535375,0.368375,0.4407,1.1172825,0.7668050000000001,0.11545250000000001,0.25739249999999997,16.080000000000002
M,0.296125,0.540875,0.3051,0.4678775,0.9303750000000001,0.1449275,0.7491074999999998,23.36
I,0.651375,0.627125,0.5763,0.8914025,0.5140150000000001,0.32767250000000003,0.6387224999999999,17.12
I,0.731125,0.121125,1.1187,0.4396425,0.9303750000000001,0.2687225,0.4681274999999999,19.2
F,0.651375,0.26487499999999997,0.5537,0.8914025,0.17200500000000002,0.3571475,0.9698774999999998,16.080000000000002
M,0.38312500000000005,0.299375,0.7344999999999999,2.1619775,1.450825,0.44557250000000004,0.05669249999999999,3.6
I,0.3686250000000001,0.5121249999999999,0.6893,2.4725624999999996,0.9303750000000001,0.0623975,0.4681274999999999,23.36
I,0.18012500000000004,0.5121249999999999,0.46329999999999993,0.8066975,0.7370650000000001,0.3512525,0.9899474999999999,25.44
I,0.27437500000000004,0.172875,0.5310999999999999,2.6137375,0.7965450000000001,0.3453575,0.5082674999999999,10.879999999999999
I,0.114875,0.138375,0.16949999999999998,1.4843375,0.7221950000000001,0.5163125,0.8996324999999998,14.0
M,0.6803750000000001,0.471875,0.3729,2.6984424999999996,0.484275,0.4573625,0.22728749999999998,25.44
F,0.23087500000000002,0.345375,0.5537,2.7549124999999997,0.24635500000000002,0.2097725,0.33767249999999993,15.04
I,0.12212500000000001,0.230375,0.0791,0.2984675,1.2129050000000001,0.1802975,0.42798749999999997,26.48
F,0.7021250000000001,0.172875,0.6214999999999999,0.49611249999999996,0.6775850000000001,0.44557250000000004,0.7992824999999999,24.400000000000002
F,0.5643750000000001,0.523625,0.4859,0.5808175,0.49914500000000006,0.3630425,0.07676249999999998,6.720000000000001
F,0.586125,0.431625,0.5989,1.0325775,0.008435000000000002,0.18619249999999998,0.7290374999999999,9.84
F,0.100375,0.443125,0.056499999999999995,1.1737525,1.1088149999999999,0.4632575,0.036622499999999995,26.48
M,0.7456250000000001,0.086625,0.5085,1.1172825,0.11252500000000001,0.1449275,0.07676249999999998,26.48
M,0.281625,0.414375,0.3051,2.5855024999999996,0.127395,0.0034475,0.42798749999999997,10.879999999999999
F,0.317875,0.471875,0.7344999999999999,0.4114075,1.123685,0.19208750000000002,0.6387224999999999,16.080000000000002
M,0.41937500000000005,0.5811250000000001,0.35029999999999994,0.6090525,1.4359549999999999,0.3866225,0.4982324999999999,15.04
F,0.535375,0.5523750000000001,0.41809999999999997,0.5525825,1.1088149999999999,0.2510375,0.026587499999999997,18.16
M,0.7673750000000001,0.287875,0.8474999999999999,1.7666875,1.4656950000000002,0.2746175,0.7892474999999999,23.36
I,0.12937500000000002,0.523625,1.0960999999999999,0.7502275,0.26122500000000004,0.11545250000000001,0.3978825,11.920000000000002
F,0.3686250000000001,0.086625,0.8249,2.4725624999999996,1.0195949999999998,0.4102025,0.7792124999999999,15.04
I,0.5281250000000001,0.218875,1.0509,1.7949225,0.46940500000000007,0.3158825,0.5183024999999999,24.400000000000002
I,0.259875,0.184375,0.9379,1.2019875,1.168295,0.5634724999999999,0.8293874999999998,20.240000000000002
F,0.25262500000000004,0.328125,0.7797,1.0890475,1.1831649999999998,0.1272425,0.22728749999999998,8.8
I,0.513625,0.12687500000000002,0.4859,2.3313875,0.707325,0.015237500000000001,0.8895974999999998,6.720000000000001
I,0.14387500000000003,0.540875,0.8474999999999999,1.6255125,1.302125,0.44557250000000004,0.31760249999999995,18.16
M,0.4773750000000001,0.103875,0.5763,2.4160924999999995,0.915505,0.2274575,0.1670775,3.6
