sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,label
M,0.713025,0.621375,0.41809999999999997,2.1902124999999995,0.588365,0.51997,0.10686749999999999,26.48
F,0.24772500000000003,0.057874999999999996,0.41809999999999997,2.5007975,1.3764750000000001,0.33629,0.19718249999999998,11.920000000000002
I,0.39577500000000004,0.448875,0.3729,0.6655225,0.201745,0.36499000000000004,0.21725249999999996,18.16
M,0.522675,0.28212499999999996,0.5537,2.2749175,0.008435000000000002,0.47405,0.7390724999999998,21.28
F,0.727125,0.569625,0.10169999999999998,2.3313875,0.9452450000000001,0.57163,0.17711249999999998,11.920000000000002
F,0.48742500000000005,0.5121249999999999,0.16949999999999998,0.5243475,0.603235,0.45683000000000007,0.6989324999999998,8.8
M,0.508575,0.103875,0.16949999999999998,1.2302225,0.9749850000000001,0.57163,0.9598424999999998,15.04
M,0.35347500000000004,0.086625,1.0960999999999999,0.2137625,0.8857650000000001,0.57163,0.8193524999999998,20.240000000000002
I,0.22657500000000003,0.345375,0.35029999999999994,1.8513925,1.406215,0.22723000000000002,0.5183024999999999,24.400000000000002
M,0.48037500000000005,0.351125,0.16949999999999998,1.4561025,0.558625,0.40517000000000003,0.2975325,18.16
M,0.24772500000000003,0.500625,1.0960999999999999,0.6372875,0.038175,0.12965,0.15704249999999997,9.84
F,0.27592500000000003,0.224625,0.0339,2.8113824999999997,0.39505500000000005,0.22723000000000002,0.38784749999999996,11.920000000000002
F,0.557925,0.43737499999999996,0.9604999999999999,0.49611249999999996,0.26122500000000004,0.19853,0.37781249999999994,4.640000000000001
M,0.508575,0.37987499999999996,0.16949999999999998,1.3996325,0.42479500000000003,0.49127,0.38784749999999996,11.920000000000002
F,0.099675,0.43737499999999996,0.5989,0.9761075,0.5734950000000001,0.27888999999999997,0.9698774999999998,17.12
I,0.677775,0.26487499999999997,0.5085,0.8631675,1.331865,0.35925,0.2674275,8.8
F,0.529725,0.425875,1.1187,1.9643325,1.0195949999999998,0.39943000000000006,0.33767249999999993,17.12
F,0.40987500000000004,0.305125,0.1243,0.3549375,0.186875,0.33629,0.09683249999999999,23.36
M,0.628425,0.26487499999999997,0.16949999999999998,0.4114075,0.09765500000000002,0.19279000000000002,0.8193524999999998,2.56
M,0.14197500000000002,0.374125,0.3729,1.8231575,0.36531500000000006,0.17557,0.24735749999999995,8.8
I,0.40282500000000004,0.32237499999999997,0.46329999999999993,1.3431625,0.127395,0.45109,0.6788624999999999,21.28
M,0.42397500000000005,0.5523750000000001,0.14689999999999998,0.0161175,0.4396650000000001,0.48553,0.2373225,9.84
I,0.34642500000000004,0.345375,0.0113,0.49611249999999996,0.8411550000000001,0.10669000000000001,0.7892474999999999,20.240000000000002
I,0.14902500000000002,0.098125,0.1243,1.3996325,0.17200500000000002,0.14113,0.5684774999999999,10.879999999999999
M,0.642525,0.5178750000000001,0.1243,2.3031524999999995,0.11252500000000001,0.01485,0.3075675,10.879999999999999
F,0.564975,0.460375,0.16949999999999998,0.24199749999999998,0.33557500000000007,0.28463000000000005,0.0667275,5.68
M,0.13492500000000002,0.293625,0.0339,0.9196375,0.067915,0.5601499999999999,0.6688274999999999,25.44
I,0.120825,0.28212499999999996,0.3051,0.0161175,0.127395,0.22149000000000002,0.6487574999999999,7.760000000000001
M,0.26182500000000003,0.42012499999999997,0.056499999999999995,1.0043425,0.320705,0.12965,0.8895974999999998,21.28
I,0.48037500000000005,0.351125,0.5989,2.0490375,0.4396650000000001,0.33629,0.35774249999999996,10.879999999999999
F,0.649575,0.402875,0.0113,2.0208024999999994,0.915505,0.37073,0.5082674999999999,4.640000000000001
I,0.24067500000000003,0.385625,0.3051,1.8231575,0.9006350000000001,0.47979000000000005,0.6788624999999999,8.8
F,0.628425,0.489125,0.6440999999999999,1.0890475,1.406215,0.57163,0.25739249999999997,10.879999999999999
M,0.522675,0.431625,0.6440999999999999,2.6702075,0.558625,0.16983,0.8996324999999998,25.44
M,0.45217500000000005,0.47762499999999997,0.16949999999999998,0.10082250000000001,0.023305000000000003,0.30185,0.47816249999999993,1.52
F,0.48037500000000005,0.11537499999999999,0.8926999999999999,0.3549375,1.4359549999999999,0.060770000000000005,0.8695274999999998,16.080000000000002
I,0.33232500000000004,0.24762499999999998,0.9830999999999999,0.8914025,0.543755,0.25019,0.18714749999999997,1.52
M,0.47332500000000005,0.144125,0.5989,2.3031524999999995,1.406215,0.23297,0.41795249999999995,8.8
I,0.691875,0.45462499999999995,0.6667,2.2466824999999995,0.23148500000000002,0.15261000000000002,0.11690249999999999,19.2
M,0.572025,0.17862499999999998,0.056499999999999995,0.9761075,1.3764750000000001,0.51997,0.2373225,23.36
F,0.536775,0.103875,0.6893,1.9925674999999998,1.123685,0.27888999999999997,0.036622499999999995,3.6
F,0.501525,0.523625,1.0509,1.9925674999999998,0.082785,0.00911,0.9498074999999998,24.400000000000002
I,0.642525,0.5811250000000001,0.1243,1.2019875,1.361605,0.15261000000000002,0.34770749999999995,8.8
F,0.579075,0.466125,0.7344999999999999,2.4725624999999996,0.24635500000000002,0.037809999999999996,0.34770749999999995,4.640000000000001
I,0.43102500000000005,0.213125,0.5989,0.6655225,0.5734950000000001,0.30759000000000003,0.41795249999999995,4.640000000000001
M,0.39577500000000004,0.5638750000000001,0.0791,0.6655225,0.320705,0.043550000000000005,0.18714749999999997,3.6
M,0.628425,0.144125,0.8474999999999999,2.5007975,0.29096500000000003,0.08373,0.9096674999999999,7.760000000000001
F,0.698925,0.540875,0.5085,1.1737525,0.350445,0.34203000000000006,0.8293874999999998,1.52
I,0.769425,0.345375,0.1243,0.3267025,1.2575150000000002,0.16983,0.37781249999999994,22.32
I,0.12787500000000002,0.253375,0.6667,2.5007975,0.09765500000000002,0.25019,0.27746249999999995,8.8
M,0.698925,0.431625,0.7119,1.1737525,0.201745,0.14687,0.4380225,26.48
F,0.586125,0.368375,0.6667,0.7784625,0.856025,0.26167,0.5584424999999998,14.0
F,0.628425,0.523625,0.0339,0.4114075,1.2277749999999998,0.03207,0.6286874999999998,11.920000000000002
F,0.18427500000000002,0.253375,0.39549999999999996,1.7949225,0.5734950000000001,0.46257000000000004,0.4982324999999999,18.16
I,0.39577500000000004,0.5638750000000001,0.10169999999999998,0.6937575,0.9749850000000001,0.5257099999999999,0.6587924999999999,4.640000000000001
F,0.501525,0.5523750000000001,0.16949999999999998,0.7784625,0.49914500000000006,0.24445,0.44805749999999994,8.8
M,0.14902500000000002,0.448875,0.5085,2.7831475,1.153425,0.0033700000000000006,0.3677775,17.12
M,0.663675,0.621375,0.2599,0.8914025,0.09765500000000002,0.21001000000000003,0.1670775,15.04
I,0.45217500000000005,0.362625,0.1243,1.8513925,0.201745,0.14687,0.07676249999999998,11.920000000000002
I,0.39577500000000004,0.5638750000000001,0.7570999999999999,1.7384525,0.751935,0.5084899999999999,0.0667275,3.6
I,0.586125,0.5983750000000001,0.14689999999999998,1.8231575,0.05304500000000001,0.54867,0.016552499999999998,12.96
I,0.45217500000000005,0.362625,0.3277,0.2137625,1.316995,0.5601499999999999,0.1369725,5.68
M,0.12787500000000002,0.49487499999999995,0.5310999999999999,1.0043425,0.588365,0.23871000000000003,0.5082674999999999,2.56
F,0.17722500000000002,0.540875,0.0791,1.3713975,1.153425,0.13539,0.4681274999999999,24.400000000000002
M,0.23362500000000003,0.155625,1.1187,0.0443525,0.082785,0.16409,0.1670775,8.8
I,0.36757500000000004,0.448875,0.4859,0.4114075,0.558625,0.32481000000000004,0.7491074999999998,18.16
M,0.593175,0.5523750000000001,0.14689999999999998,0.4114075,1.4210850000000002,0.14687,0.5183024999999999,3.6
I,0.47332500000000005,0.092375,0.7344999999999999,2.5290324999999996,0.543755,0.18705,0.11690249999999999,21.28
M,0.37462500000000004,0.42012499999999997,0.3729,0.3267025,0.454535,0.18705,0.9297374999999999,23.36
M,0.593175,0.368375,0.1243,0.5525825,0.350445,0.11243,0.37781249999999994,1.52
I,0.607275,0.47762499999999997,0.8474999999999999,0.4678775,0.15713500000000002,0.10669000000000001,0.1369725,15.04
F,0.677775,0.368375,0.2825,0.3831725,0.8708950000000001,0.48553,0.4681274999999999,20.240000000000002
I,0.776475,0.075125,0.23729999999999998,1.4561025,0.6775850000000001,0.23297,0.6086174999999998,2.56
I,0.45217500000000005,0.241875,0.5763,2.5855024999999996,0.305835,0.27315,0.016552499999999998,7.760000000000001
I,0.120825,0.5638750000000001,0.10169999999999998,0.9761075,0.46940500000000007,0.46257000000000004,0.6688274999999999,17.12
F,0.33232500000000004,0.27637500000000004,0.41809999999999997,1.2019875,0.276095,0.14113,0.7491074999999998,11.920000000000002
I,0.43807500000000005,0.489125,0.056499999999999995,2.6419724999999996,0.588365,0.28463000000000005,0.7290374999999999,19.2
M,0.522675,0.471875,1.0057,1.8513925,0.960115,0.34203000000000006,0.07676249999999998,3.6
I,0.515625,0.253375,0.14689999999999998,0.6090525,0.350445,0.31907,0.2373225,10.879999999999999
I,0.670725,0.132625,0.39549999999999996,0.4396425,0.856025,0.44535,0.9197024999999999,26.48
M,0.762375,0.466125,0.46329999999999993,0.5243475,1.1088149999999999,0.24445,0.026587499999999997,15.04
F,0.698925,0.569625,0.0791,1.8231575,0.7965450000000001,0.04929,0.5584424999999998,12.96
M,0.564975,0.32237499999999997,0.3051,0.4678775,0.811415,0.30185,0.1369725,25.44
M,0.536775,0.33962499999999995,0.8926999999999999,2.4443275,0.380185,0.14687,0.006517499999999999,1.52
I,0.092625,0.161375,1.0735000000000001,0.3267025,0.09765500000000002,0.11243,0.0867975,10.879999999999999
F,0.21247500000000002,0.42012499999999997,0.4859,1.7949225,0.17200500000000002,0.026330000000000003,0.006517499999999999,23.36
I,0.40282500000000004,0.310875,0.2599,1.5690425,0.305835,0.07799,0.8795624999999998,17.12
I,0.48742500000000005,0.402875,0.6893,0.2702325,1.287255,0.23297,0.09683249999999999,11.920000000000002
F,0.586125,0.448875,0.1243,1.1455175,0.29096500000000003,0.39943000000000006,0.19718249999999998,22.32
M,0.120825,0.546625,0.10169999999999998,0.7784625,0.42479500000000003,0.043550000000000005,0.17711249999999998,7.760000000000001
F,0.515625,0.32237499999999997,0.7344999999999999,1.9078625,0.647845,0.34203000000000006,0.8293874999999998,19.2
M,0.14902500000000002,0.12687500000000002,0.7119,2.5007975,1.242645,0.34203000000000006,0.0867975,6.720000000000001
F,0.48742500000000005,0.540875,0.23729999999999998,1.8231575,1.138555,0.29611,0.5183024999999999,23.36
F,0.769425,0.374125,0.2147,0.9478725,0.05304500000000001,0.07225000000000001,0.7792124999999999,24.400000000000002
I,0.20542500000000002,0.385625,0.2147,2.6419724999999996,0.305835,0.13539,0.5082674999999999,7.760000000000001
F,0.593175,0.356875,0.3729,1.4561025,1.138555,0.29611,0.6086174999999998,10.879999999999999
M,0.670725,0.443125,0.14689999999999998,1.1172825,0.26122500000000004,0.19853,0.2674275,9.84
M,0.078525,0.057874999999999996,0.6667,0.2137625,1.302125,0.20427,0.6487574999999999,8.8
F,0.579075,0.362625,0.2599,0.8631675,0.09765500000000002,0.27888999999999997,0.2674275,10.879999999999999
I,0.642525,0.5811250000000001,0.1243,1.2019875,1.361605,0.15261000000000002,0.34770749999999995,8.8
F,0.36757500000000004,0.190125,0.14689999999999998,0.8631675,0.6329750000000001,0.50275,0.27746249999999995,12.96
M,0.649575,0.5983750000000001,0.8926999999999999,1.5690425,0.4396650000000001,0.02059,0.8594924999999999,17.12
F,0.501525,0.305125,0.7119,2.6137375,0.558625,0.07799,0.12693749999999998,3.6
M,0.600225,0.213125,0.1921,1.0608125,1.4210850000000002,0.05503000000000001,0.9498074999999998,17.12
I,0.501525,0.37987499999999996,0.1243,0.4114075,0.960115,0.27315,0.12693749999999998,20.240000000000002
I,0.670725,0.558125,0.0791,2.5572675,1.331865,0.15835,0.2674275,16.080000000000002
M,0.33232500000000004,0.121125,0.41809999999999997,2.5572675,0.40992500000000004,0.26741000000000004,0.016552499999999998,8.8
I,0.593175,0.42012499999999997,0.0791,0.3267025,0.067915,0.14113,0.0867975,10.879999999999999
F,0.44512500000000005,0.5293749999999999,0.3051,1.4278675,0.9898550000000002,0.26741000000000004,0.40791749999999993,9.84
M,0.762375,0.138375,0.9379,0.2702325,0.707325,0.0033700000000000006,0.21725249999999996,1.52
M,0.557925,0.471875,0.41809999999999997,1.2584575,0.856025,0.01485,0.5885474999999999,5.68
I,0.085575,0.132625,0.3277,2.0772724999999994,0.038175,0.5371900000000001,0.2975325,3.6
M,0.501525,0.33387500000000003,0.2147,2.5007975,0.305835,0.38221000000000005,0.9297374999999999,9.84
F,0.656625,0.42012499999999997,0.14689999999999998,2.7549124999999997,1.346735,0.22149000000000002,0.24735749999999995,1.52
F,0.28297500000000003,0.5811250000000001,0.7797,0.2984675,0.142265,0.27888999999999997,0.6688274999999999,9.84
M,0.642525,0.448875,0.14689999999999998,2.0208024999999994,1.0493350000000001,0.14687,0.14700749999999999,8.8
F,0.33937500000000004,0.471875,0.7119,0.1855275,0.49914500000000006,0.24445,0.7089674999999999,18.16
F,0.34642500000000004,0.471875,0.5085,1.7384525,0.186875,0.08373,0.35774249999999996,21.28
F,0.33232500000000004,0.466125,1.0282999999999998,1.6255125,0.8857650000000001,0.38221000000000005,0.48819749999999995,1.52
F,0.31822500000000004,0.621375,0.39549999999999996,0.4678775,0.484275,0.24445,0.22728749999999998,1.52
F,0.543825,0.155625,0.16949999999999998,1.0325775,0.26122500000000004,0.12391,0.5383724999999999,9.84
I,0.120825,0.32237499999999997,0.1921,0.4678775,1.4210850000000002,0.33055,0.12693749999999998,19.2
M,0.31822500000000004,0.14987499999999998,0.0339,2.5572675,0.008435000000000002,0.33629,0.9999824999999999,17.12
F,0.32527500000000004,0.506375,0.5537,2.8113824999999997,0.9303750000000001,0.19853,0.31760249999999995,16.080000000000002
I,0.106725,0.103875,1.0057,0.1855275,0.350445,0.05503000000000001,0.07676249999999998,21.28
M,0.586125,0.368375,0.6440999999999999,0.0443525,1.123685,0.47979000000000005,0.8494574999999999,5.68
F,0.27592500000000003,0.224625,0.0339,2.8113824999999997,0.39505500000000005,0.22723000000000002,0.38784749999999996,11.920000000000002
I,0.45217500000000005,0.241875,0.5763,2.5855024999999996,0.305835,0.27315,0.016552499999999998,7.760000000000001
M,0.572025,0.431625,0.1243,1.3149275,0.305835,0.14113,0.3677775,26.48
F,0.48742500000000005,0.402875,1.0057,1.5690425,0.26122500000000004,0.01485,0.8795624999999998,20.240000000000002
M,0.564975,0.121125,0.056499999999999995,1.4843375,1.138555,0.32481000000000004,0.5785124999999999,4.640000000000001
F,0.15607500000000002,0.49487499999999995,0.2147,1.4561025,1.079075,0.06651,0.31760249999999995,4.640000000000001
I,0.37462500000000004,0.368375,0.14689999999999998,0.3831725,1.0493350000000001,0.06651,0.18714749999999997,5.68
I,0.677775,0.466125,0.3051,2.2749175,0.7221950000000001,0.43387000000000003,0.036622499999999995,4.640000000000001
F,0.677775,0.5178750000000001,0.23729999999999998,2.0772724999999994,0.5140150000000001,0.36499000000000004,0.2975325,1.52
I,0.734175,0.299375,1.0509,0.49611249999999996,1.4359549999999999,0.38795,0.8895974999999998,7.760000000000001
I,0.593175,0.42012499999999997,0.0791,0.3267025,0.067915,0.14113,0.0867975,10.879999999999999
I,0.572025,0.259125,0.1243,1.0890475,0.17200500000000002,0.29611,0.006517499999999999,8.8
F,0.21952500000000003,0.33962499999999995,0.14689999999999998,1.2584575,0.5140150000000001,0.46831,0.9397724999999998,18.16
I,0.515625,0.224625,0.2147,0.2137625,1.331865,0.29037,0.1369725,15.04
M,0.37462500000000004,0.368375,0.1921,1.3431625,0.9006350000000001,0.19853,0.6788624999999999,9.84
F,0.579075,0.43737499999999996,0.14689999999999998,0.7219925,0.350445,0.10095000000000001,0.0867975,8.8
