age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
70.97887323943662,Private,166889.1,Some-college,8.96875,Never-married,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,499.995,24.75,50.53260869565217,United-States,<=50K
40.13380281690141,Local-gov,269958.5,HS-grad,9.90625,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,499.995,24.75,37.75,United-States,<=50K
32.936619718309856,Private,107992.30000000002,Some-college,10.84375,Never-married,Craft-repair,Husband,Black,Male,499.995,24.75,19.641304347826086,United-States,<=50K
40.13380281690141,?,181613.30000000002,HS-grad,10.84375,Never-married,Adm-clerical,Husband,White,Male,499.995,24.75,45.20652173913044,United-States,<=50K
17.514084507042256,Private,181613.30000000002,HS-grad,9.90625,Never-married,Machine-op-inspct,Unmarried,White,Male,499.995,24.75,42.01086956521739,United-States,<=50K
65.83802816901408,Private,181613.30000000002,HS-grad,9.90625,Married-civ-spouse,?,Other-relative,Black,Female,499.995,24.75,39.8804347826087,United-States,>50K
23.683098591549296,Private,196337.5,Some-college,8.96875,Married-civ-spouse,?,Not-in-family,Black,Female,499.995,24.75,39.8804347826087,United-States,<=50K
60.69718309859155,Private,152164.90000000002,Bachelors,9.90625,Married-civ-spouse,Sales,Husband,White,Male,499.995,24.75,50.53260869565217,United-States,<=50K
40.13380281690141,Federal-gov,387752.1,HS-grad,8.96875,Married-civ-spouse,Other-service,Husband,White,Male,15499.845000000001,24.75,19.641304347826086,United-States,<=50K
27.795774647887324,Private,196337.5,12th,14.59375,Married-civ-spouse,Tech-support,Own-child,White,Male,499.995,24.75,39.8804347826087,United-States,<=50K
19.570422535211268,Self-emp-not-inc,137440.7,1st-4th,7.09375,Married-civ-spouse,Craft-repair,Husband,White,Male,499.995,24.75,39.8804347826087,United-States,<=50K
26.767605633802816,Self-emp-not-inc,152164.90000000002,10th,13.65625,Never-married,Transport-moving,Husband,White,Male,3499.965,24.75,39.8804347826087,Peru,<=50K
34.99295774647888,Local-gov,107992.30000000002,9th,13.65625,Married-civ-spouse,Sales,Own-child,White,Female,499.995,24.75,39.8804347826087,Iran,<=50K
46.30281690140845,?,211061.7,Some-college,9.90625,Married-civ-spouse,Prof-specialty,Own-child,White,Female,499.995,24.75,39.8804347826087,United-States,<=50K
33.96478873239437,Private,240510.1,Assoc-voc,9.90625,Never-married,Sales,Unmarried,White,Female,499.995,24.75,50.53260869565217,?,<=50K
19.570422535211268,State-gov,211061.7,Some-college,8.96875,Never-married,Prof-specialty,Husband,White,Male,499.995,24.75,39.8804347826087,United-States,<=50K
28.823943661971832,Private,166889.1,Assoc-acdm,8.96875,Never-married,Craft-repair,Unmarried,White,Female,499.995,24.75,34.55434782608695,United-States,<=50K
44.24647887323944,Private,122716.5,Some-college,9.90625,Divorced,?,Husband,White,Male,499.995,24.75,39.8804347826087,United-States,<=50K
19.570422535211268,Local-gov,107992.30000000002,Some-college,9.90625,Never-married,Other-service,Own-child,White,Male,499.995,24.75,39.8804347826087,United-States,>50K
41.16197183098592,Self-emp-not-inc,137440.7,Some-college,9.90625,Never-married,Sales,Husband,White,Male,499.995,24.75,39.8804347826087,United-States,<=50K
22.654929577464788,Self-emp-not-inc,225785.90000000002,Some-college,12.71875,Married-civ-spouse,?,Husband,White,Male,499.995,24.75,23.902173913043477,United-States,<=50K
17.514084507042256,Private,107992.30000000002,Some-college,5.21875,Never-married,Prof-specialty,Husband,Black,Male,499.995,24.75,39.8804347826087,United-States,<=50K
49.38732394366197,Self-emp-not-inc,196337.5,7th-8th,10.84375,Married-civ-spouse,Craft-repair,Own-child,White,Male,499.995,24.75,50.53260869565217,United-States,<=50K
29.852112676056336,Self-emp-not-inc,34371.3,HS-grad,12.71875,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,499.995,24.75,45.20652173913044,United-States,>50K
46.30281690140845,Private,343579.5,11th,9.90625,Married-civ-spouse,Craft-repair,Husband,White,Male,499.995,24.75,51.59782608695653,United-States,<=50K
20.598591549295776,Private,240510.1,Some-college,13.65625,Married-civ-spouse,Other-service,Husband,White,Male,499.995,24.75,39.8804347826087,United-States,>50K
40.13380281690141,Self-emp-inc,93268.1,HS-grad,8.96875,Married-civ-spouse,Prof-specialty,Husband,White,Male,499.995,24.75,19.641304347826086,United-States,>50K
49.38732394366197,Federal-gov,284682.7,HS-grad,8.96875,Married-civ-spouse,Adm-clerical,Own-child,White,Male,499.995,24.75,39.8804347826087,United-States,<=50K
31.90845070422535,Private,63819.700000000004,HS-grad,12.71875,Widowed,?,Husband,White,Male,499.995,24.75,35.61956521739131,United-States,>50K
60.69718309859155,Private,284682.7,Assoc-voc,8.03125,Never-married,Craft-repair,Not-in-family,Black,Male,6499.935,24.75,50.53260869565217,United-States,<=50K
48.35915492957746,Private,358303.70000000007,HS-grad,8.96875,Married-civ-spouse,Transport-moving,Husband,White,Male,499.995,24.75,39.8804347826087,United-States,<=50K
67.89436619718309,Private,152164.90000000002,HS-grad,9.90625,Divorced,Exec-managerial,Own-child,White,Male,499.995,24.75,39.8804347826087,United-States,>50K
