US1,US2,US3,US4,US5,US6,US7,US8,US9,US10,US11,US12,US13,US14,US15,US16,US17,US18,US19,US20,US21,US22,US23,US24,label
1.159,4.176220000000001,3.045835,1.816005,1.9154,3.156775,1.41345,4.209745,4.481875,4.57995,4.532895,4.345745,1.6824500000000002,2.9436,3.80644,2.78064,1.969315,3.21129,3.3923,1.6788249999999998,3.3598999999999997,1.5984200000000002,1.2241050000000002,0.446345,Sharp-Right-Turn
1.803,5.00206,3.137015,4.9114249999999995,4.127,1.289095,2.2295100000000003,5.051945,0.917175,4.664149999999999,1.320375,2.277455,4.47425,4.682,4.57212,1.6824,3.496225,3.53651,1.7613000000000003,2.561375,2.2511,0.99678,1.687405,1.925705,Slight-Right-Turn
1.895,1.1481400000000002,0.583975,4.283975,4.1658,4.557535,2.2295100000000003,4.9256150000000005,4.8134749999999995,4.53785,3.602955,1.559885,4.13585,1.6716,3.80644,4.70256,4.467895,4.605090000000001,1.5283000000000002,3.815525,1.3733,2.7091399999999997,1.270435,1.324715,Sharp-Right-Turn
1.527,3.8091800000000005,2.088445,3.740185,1.605,1.639285,3.31759,1.219935,4.2746249999999995,2.26445,0.897675,3.585965,4.0089500000000005,1.5868,2.6353999999999997,3.55856,2.709635,1.30643,1.3885,4.883875,3.4522999999999997,4.4215,1.7337350000000002,1.0473350000000001,Sharp-Right-Turn
4.471,1.3775400000000002,3.137015,4.409464999999999,3.5062,3.973885,2.9289899999999998,3.451765,4.730574999999999,4.53785,2.4193949999999997,4.134695000000001,1.7670500000000002,4.8092,1.86972,1.36208,0.673755,1.86395,4.9767,2.654275,1.5119,2.8017000000000003,3.679595,0.954875,Slight-Right-Turn
2.723,1.4234200000000001,0.948695,0.9375749999999999,3.8166,1.250185,3.00671,3.493875,2.1192249999999997,4.664149999999999,2.5462050000000005,2.8261849999999997,4.13585,2.5196,2.27508,4.33648,0.48867499999999997,2.4214700000000002,2.4137,2.979425,2.4358999999999997,1.22818,0.390165,3.081455,Slight-Left-Turn
1.435,1.6069400000000003,3.8664549999999998,2.778095,4.6702,2.261845,4.7554099999999995,3.6623150000000004,1.6218249999999999,1.25405,2.757555,4.683425,0.79415,2.8588,2.6353999999999997,1.7739199999999997,0.442405,0.37722999999999995,2.1341,2.654275,3.7756999999999996,0.81166,2.428685,4.190975,Slight-Left-Turn
1.435,2.06574,4.231175,2.4016249999999997,1.5662000000000003,2.806585,2.38495,4.967725,2.7824249999999995,4.24315,4.617435,1.517675,2.9091500000000003,4.1732,4.8873999999999995,3.37552,1.7842349999999998,2.3750100000000005,1.9943,4.326475,4.0991,3.3570599999999997,0.390165,4.560815,Slight-Left-Turn
1.343,3.44214,2.4987549999999996,1.941495,2.8854,2.300755,2.30723,4.251855000000001,1.0000749999999998,2.3907499999999997,4.152465,2.5729249999999997,1.4286500000000002,4.6396,3.49116,2.6433599999999995,1.969315,4.4657100000000005,2.6001000000000003,1.214325,1.1423,2.98682,3.077305,2.711615,Sharp-Right-Turn
3.7809999999999997,4.680900000000001,1.906085,4.451295,1.799,2.261845,1.6466100000000001,3.4096550000000003,1.829075,4.87465,1.616265,1.0533649999999999,4.13585,0.866,3.8514799999999996,2.87216,0.720025,3.7223500000000005,4.6505,2.8400749999999997,2.9902999999999995,0.8579399999999999,4.4208750000000006,3.127685,Move-Forward
1.757,3.48802,3.5017349999999996,3.740185,4.4374,1.366915,3.6673299999999998,1.7673649999999999,2.9067749999999997,3.69585,4.659705000000001,0.8001050000000001,0.92105,1.3748,1.01396,1.9111999999999998,2.385745,3.67589,2.2273,4.976775,2.6669,1.6447,3.308955,2.388005,Slight-Left-Turn
2.2169999999999996,2.8915800000000003,1.0854650000000001,1.021235,1.411,3.818245,4.48339,3.746535,1.7047249999999998,1.59085,0.939945,4.7678449999999994,1.8939500000000002,3.5796,2.68044,1.31632,2.940985,1.91041,4.7437000000000005,2.979425,4.6073,1.69098,3.7722550000000004,4.283435,Slight-Right-Turn
4.931000000000001,2.3869,3.319375,2.317965,4.9806,3.896065,4.25023,2.9885550000000003,4.398974999999999,3.99055,3.7720350000000002,3.163865,3.5013500000000004,1.3748,4.797319999999999,4.977119999999999,0.766295,4.65155,4.8369,3.351025,3.4985,0.81166,2.197035,1.787015,Sharp-Right-Turn
1.343,4.2221,1.313415,0.853915,1.5662000000000003,4.635355000000001,4.52225,3.493875,1.7876249999999998,3.02225,3.7720350000000002,2.699555,0.92105,3.7492,1.77964,3.37552,2.7559050000000003,3.07191,3.5787,3.443925,1.0960999999999999,2.06122,4.791515,1.509635,Sharp-Right-Turn
2.815,3.9009400000000003,4.960614999999999,3.070905,3.8942,3.701515,4.7554099999999995,1.177825,3.818675,2.89595,3.053445,3.9658549999999995,4.0935500000000005,1.0356,4.346919999999999,2.1399999999999997,3.912655,4.37279,4.0913,0.703375,4.8383,3.8198600000000003,2.9846450000000004,2.1106249999999998,Slight-Left-Turn
4.793000000000001,2.98334,1.313415,2.736265,1.4886,4.985545,2.2295100000000003,0.9672749999999999,2.2021249999999997,3.14855,2.334855,3.9658549999999995,4.4319500000000005,1.1627999999999998,1.9147599999999998,0.49263999999999997,1.830505,0.88829,0.40990000000000004,4.651624999999999,4.052899999999999,1.45958,2.891985,4.283435,Move-Forward
3.8729999999999998,1.2399,0.9031049999999999,4.953255,1.1782,2.456395,4.28909,1.5568149999999998,4.025924999999999,2.76965,3.983385,2.108615,2.8245500000000003,4.385199999999999,1.9598,3.37552,2.432015,3.5829700000000004,1.2021000000000002,0.842725,2.5744999999999996,1.50586,1.038785,0.769955,Sharp-Right-Turn
4.287000000000001,3.9927,2.544345,0.9375749999999999,3.1958,3.623695,2.1906499999999998,1.262045,3.2383749999999996,1.88555,4.110195,3.6281749999999997,2.5707500000000003,3.1132,4.12172,1.31632,0.534945,1.3528900000000001,0.4565,4.744524999999999,3.8680999999999996,3.07938,1.8263950000000002,3.127685,Sharp-Right-Turn
0.837,1.2399,2.134035,3.029075,1.9154,1.911655,3.12329,2.9885550000000003,2.9067749999999997,4.664149999999999,4.406085,1.433255,2.7822500000000003,2.0108,3.40108,4.3822399999999995,2.848445,4.41925,0.8293,1.957525,3.3598999999999997,3.9587000000000003,3.725925,4.791964999999999,Move-Forward
