Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,label
0.5,93.00613196,0.7058823529411765,11.284583335,588.675,6691.541173899999,0.011,0.147,1.8088187095000001,0.08333333333333333,May,2,2,1,1,Returning_Visitor,False,False
2.5,39.85977084,0.7058823529411765,11.284583335,694.425,647.5685007,0.001,0.023,1.8088187095000001,0.08333333333333333,Nov,2,2,7,3,Returning_Visitor,False,False
14.5,1793.6896878000002,14.823529411764707,11.284583335,59.925,28277.157863899996,0.009000000000000001,0.017,302.0727244865,0.08333333333333333,Dec,7,13,1,17,Returning_Visitor,False,True
2.5,39.85977084,0.7058823529411765,11.284583335,31.725,8850.1028429,0.001,0.023,1.8088187095000001,0.08333333333333333,Nov,2,2,3,2,Returning_Visitor,False,False
0.5,13.28659028,0.7058823529411765,11.284583335,3.525,215.85616689999998,0.001,0.028999999999999998,1.8088187095000001,0.08333333333333333,May,1,1,1,3,Returning_Visitor,False,False
3.5,13.28659028,0.7058823529411765,11.284583335,652.125,215.85616689999998,0.005,0.051000000000000004,1.8088187095000001,0.75,May,2,2,4,4,Returning_Visitor,True,False
3.5,13.28659028,0.7058823529411765,11.284583335,215.02499999999998,1510.9931683,0.001,0.025,1.8088187095000001,0.08333333333333333,Mar,2,2,1,1,Returning_Visitor,True,False
7.5,13.28659028,0.7058823529411765,11.284583335,24.674999999999997,215.85616689999998,0.007,0.153,5.4264561285,0.08333333333333333,May,2,2,7,4,Returning_Visitor,False,False
0.5,13.28659028,0.7058823529411765,11.284583335,299.625,23096.6098583,0.001,0.151,1.8088187095000001,0.08333333333333333,May,2,4,3,2,Returning_Visitor,False,False
1.5,1687.39696556,6.352941176470589,11.284583335,66.975,35184.555204699995,0.017,0.015,200.7788767545,0.75,June,8,2,5,3,New_Visitor,True,False
2.5,39.85977084,17.647058823529413,11.284583335,207.975,23096.6098583,0.019000000000000003,0.197,193.54360191650002,0.9166666666666666,Aug,2,10,3,19,Returning_Visitor,True,True
8.5,13.28659028,0.7058823529411765,417.52958339500003,24.674999999999997,215.85616689999998,0.005,0.051000000000000004,1.8088187095000001,0.5833333333333333,Nov,4,2,9,4,Returning_Visitor,False,False
4.5,13.28659028,19.058823529411768,620.652083425,271.42499999999995,5828.116506299999,0.161,0.045,1.8088187095000001,0.25,June,5,10,1,5,New_Visitor,False,True
0.5,13.28659028,0.7058823529411765,11.284583335,24.674999999999997,1079.2808344999999,0.001,0.027000000000000003,280.36689997250005,0.08333333333333333,May,2,2,3,2,Returning_Visitor,False,False
1.5,13.28659028,6.352941176470589,11.284583335,165.675,215.85616689999998,0.001,0.033,1.8088187095000001,0.08333333333333333,Nov,1,1,2,15,New_Visitor,False,False
6.5,2165.71421564,20.47058823529412,11.284583335,66.975,647.5685007,0.001,0.023,121.19085353650001,0.08333333333333333,Nov,4,1,3,3,Returning_Visitor,False,False
22.5,2245.43375732,16.235294117647058,191.83791669500002,574.575,11008.664511899999,0.013000000000000001,0.023,157.3672277265,0.08333333333333333,Jul,1,11,5,13,Returning_Visitor,False,False
0.5,1767.11650724,12.0,1433.142083545,17.625,38206.5415413,0.035,0.043,9.044093547500001,0.08333333333333333,May,5,3,9,13,Returning_Visitor,True,False
6.5,571.3233820400001,12.0,778.636250115,468.825,11008.664511899999,0.001,0.011,1.8088187095000001,0.75,Feb,5,4,7,5,New_Visitor,False,True
1.5,13.28659028,2.1176470588235294,756.067083445,440.625,24391.746859699997,0.163,0.081,1.8088187095000001,0.9166666666666666,May,3,2,4,3,Returning_Visitor,True,False
0.5,13.28659028,0.7058823529411765,11.284583335,24.674999999999997,215.85616689999998,0.007,0.051000000000000004,1.8088187095000001,0.08333333333333333,May,2,2,2,4,Returning_Visitor,False,False
