Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,label
2.5,39.85977084,0.7058823529411765,11.284583335,3.525,1510.9931683,0.001,0.007,1.8088187095000001,0.08333333333333333,Jul,1,1,3,2,Returning_Visitor,False,False
4.5,66.43295140000001,20.47058823529412,1771.6795835950002,363.075,215.85616689999998,0.003,0.183,70.5439296705,0.08333333333333333,May,2,13,4,4,Returning_Visitor,False,False
9.5,624.46974316,0.7058823529411765,11.284583335,3.525,215.85616689999998,0.181,0.055,1.8088187095000001,0.08333333333333333,Nov,2,4,3,2,Other,False,False
0.5,2378.29966012,0.7058823529411765,2155.3554169850004,151.575,647.5685007,0.001,0.011,77.7792045085,0.08333333333333333,Jul,2,2,5,1,Returning_Visitor,False,False
4.5,225.87203476000002,0.7058823529411765,11.284583335,10.575,215.85616689999998,0.017,0.015,1.8088187095000001,0.08333333333333333,Nov,3,2,1,2,New_Visitor,False,False
6.5,199.2988542,0.7058823529411765,11.284583335,17.625,215.85616689999998,0.199,0.121,1.8088187095000001,0.08333333333333333,Nov,3,2,3,13,Returning_Visitor,False,False
2.5,438.45747924,0.7058823529411765,11.284583335,10.575,1942.7055020999996,0.001,0.017,1.8088187095000001,0.08333333333333333,Oct,1,1,6,3,Returning_Visitor,False,True
1.5,1740.54332668,7.764705882352942,2019.9404169650002,45.825,19211.198854099996,0.155,0.035,255.04343803950002,0.25,May,1,1,7,10,Returning_Visitor,True,False
0.5,13.28659028,2.1176470588235294,11.284583335,3.525,1510.9931683,0.001,0.199,12.6617309665,0.08333333333333333,Nov,2,2,3,5,Returning_Visitor,False,True
2.5,279.01839588,3.5294117647058822,349.82208338500004,81.07499999999999,1079.2808344999999,0.023,0.133,34.3675554805,0.08333333333333333,Nov,2,7,1,4,Returning_Visitor,True,True
16.5,13.28659028,20.47058823529412,846.343750125,66.975,215.85616689999998,0.053000000000000005,0.011,99.48502902250002,0.08333333333333333,Mar,2,5,1,14,Returning_Visitor,False,False
5.5,93.00613196,0.7058823529411765,11.284583335,17.625,215.85616689999998,0.019000000000000003,0.031,1.8088187095000001,0.08333333333333333,Mar,2,2,2,1,Returning_Visitor,False,False
12.5,13.28659028,0.7058823529411765,11.284583335,10.575,215.85616689999998,0.001,0.027000000000000003,171.83777740250002,0.08333333333333333,Dec,7,2,4,3,Returning_Visitor,False,True
8.5,146.15249308,0.7058823529411765,11.284583335,17.625,1942.7055020999996,0.037000000000000005,0.027000000000000003,1.8088187095000001,0.08333333333333333,Dec,2,5,1,2,Returning_Visitor,True,False
4.5,93.00613196,0.7058823529411765,11.284583335,3.525,647.5685007,0.011,0.009000000000000001,19.8970058045,0.08333333333333333,June,2,2,1,13,Returning_Visitor,True,False
2.5,39.85977084,0.7058823529411765,11.284583335,24.674999999999997,215.85616689999998,0.001,0.005,1.8088187095000001,0.08333333333333333,Jul,1,1,8,2,New_Visitor,False,False
12.5,13.28659028,0.7058823529411765,11.284583335,3.525,1510.9931683,0.028999999999999998,0.101,1.8088187095000001,0.08333333333333333,Dec,1,1,7,2,Returning_Visitor,False,False
0.5,13.28659028,0.7058823529411765,11.284583335,31.725,215.85616689999998,0.053000000000000005,0.011,1.8088187095000001,0.08333333333333333,Sep,2,2,1,2,Returning_Visitor,False,False
13.5,93.00613196,13.411764705882355,11.284583335,588.675,215.85616689999998,0.001,0.020999999999999998,9.044093547500001,0.08333333333333333,Oct,1,2,9,16,Returning_Visitor,False,False
0.5,13.28659028,2.1176470588235294,11.284583335,24.674999999999997,2806.1301697,0.001,0.025,1.8088187095000001,0.08333333333333333,Mar,3,2,4,13,Returning_Visitor,True,False
1.5,13.28659028,0.7058823529411765,11.284583335,3.525,647.5685007,0.007,0.009000000000000001,5.4264561285,0.08333333333333333,Nov,2,2,1,1,Returning_Visitor,False,True
