Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,label
0.5,13.28659028,0.7058823529411765,11.284583335,10.575,215.85616689999998,0.028999999999999998,0.020999999999999998,1.8088187095000001,0.08333333333333333,Nov,2,2,3,1,Returning_Visitor,False,False
0.5,13.28659028,0.7058823529411765,11.284583335,10.575,20074.6235217,0.10300000000000001,0.053000000000000005,1.8088187095000001,0.08333333333333333,May,1,5,2,13,Returning_Visitor,False,False
3.5,93.00613196,0.7058823529411765,1523.4187502250002,623.925,3237.8425034999996,0.053000000000000005,0.009000000000000001,1.8088187095000001,0.5833333333333333,June,3,3,1,2,Returning_Visitor,True,False
9.5,2617.45828516,2.1176470588235294,643.221250095,356.025,23096.6098583,0.093,0.003,349.10201093349997,0.75,Aug,6,10,1,2,New_Visitor,False,True
0.5,225.87203476000002,0.7058823529411765,11.284583335,24.674999999999997,1510.9931683,0.001,0.011,1.8088187095000001,0.08333333333333333,Aug,2,2,1,3,Returning_Visitor,False,False
10.5,332.164757,21.88235294117647,1004.327916815,356.025,13167.226180899997,0.163,0.019000000000000003,63.3086548325,0.08333333333333333,June,6,6,4,12,New_Visitor,True,True
3.5,119.57931252,0.7058823529411765,11.284583335,313.725,2374.4178359,0.001,0.009000000000000001,1.8088187095000001,0.08333333333333333,Jul,3,2,1,2,Returning_Visitor,True,True
0.5,1235.65289604,0.7058823529411765,11.284583335,10.575,1942.7055020999996,0.001,0.025,1.8088187095000001,0.08333333333333333,Dec,2,2,7,2,Returning_Visitor,False,False
0.5,13.28659028,0.7058823529411765,11.284583335,673.275,1942.7055020999996,0.001,0.025,1.8088187095000001,0.08333333333333333,Dec,4,2,2,2,Returning_Visitor,False,False
18.5,597.8965625999999,2.1176470588235294,2155.3554169850004,200.925,16189.212517499998,0.129,0.165,316.5432741625,0.9166666666666666,Mar,8,10,9,10,New_Visitor,True,False
1.5,39.85977084,0.7058823529411765,11.284583335,10.575,1079.2808344999999,0.003,0.017,1.8088187095000001,0.08333333333333333,Nov,1,1,3,1,Returning_Visitor,False,False
0.5,13.28659028,0.7058823529411765,11.284583335,3.525,215.85616689999998,0.199,0.07100000000000001,1.8088187095000001,0.08333333333333333,Dec,4,1,1,4,Returning_Visitor,True,False
0.5,13.28659028,0.7058823529411765,11.284583335,24.674999999999997,647.5685007,0.007,0.041,1.8088187095000001,0.08333333333333333,May,3,2,1,4,Returning_Visitor,False,False
24.5,863.6283682000001,14.823529411764707,2245.632083665,88.125,13167.226180899997,0.077,0.043,236.95525094450002,0.75,Sep,5,1,9,19,Other,True,True
0.5,66.43295140000001,20.47058823529412,643.221250095,630.9749999999999,27413.733196299996,0.033,0.155,19.8970058045,0.08333333333333333,June,8,2,1,2,New_Visitor,True,False
0.5,39.85977084,0.7058823529411765,11.284583335,165.675,647.5685007,0.001,0.015,1.8088187095000001,0.08333333333333333,Oct,2,2,4,1,Returning_Visitor,False,False
3.5,358.73793756,0.7058823529411765,1072.035416825,59.925,215.85616689999998,0.001,0.028999999999999998,189.92596449750002,0.08333333333333333,Sep,3,2,1,2,New_Visitor,False,True
0.5,13.28659028,0.7058823529411765,11.284583335,24.674999999999997,1510.9931683,0.001,0.031,1.8088187095000001,0.08333333333333333,Nov,2,2,1,3,Returning_Visitor,True,False
0.5,13.28659028,0.7058823529411765,11.284583335,59.925,215.85616689999998,0.001,0.009000000000000001,1.8088187095000001,0.08333333333333333,Mar,4,1,1,1,Returning_Visitor,False,False
16.5,385.31111812,12.0,236.97625003500002,17.625,5828.116506299999,0.199,0.009000000000000001,132.0437657935,0.9166666666666666,Nov,2,2,6,1,Returning_Visitor,False,False
3.5,465.0306598,0.7058823529411765,11.284583335,10.575,8418.390509099998,0.001,0.067,1.8088187095000001,0.9166666666666666,Nov,1,8,1,14,Returning_Visitor,False,False
19.5,1501.38470164,23.294117647058826,1049.4662501550001,59.925,14030.650848499998,0.019000000000000003,0.179,128.4261283745,0.25,May,1,11,9,17,Returning_Visitor,False,True
